Seed, Score, T1, T2, T3, T4, T5, T6, T7, T8
FAJK8SAR, 11, 1, 0, 0, 0, 0, 1, 0, 0
EXQICSAR, 10, 0, 0, 0, 0, 0, 1, 0, 0
QBOFJUAR, 10, 0, 0, 0, 0, 0, 1, 0, 0
4YSJUUAR, 10, 0, 0, 0, 0, 0, 1, 0, 0
Y4KMZXAR, 10, 0, 0, 0, 0, 0, 1, 0, 0
IS9SU1BR, 10, 0, 0, 0, 0, 0, 1, 0, 0
NEYB32BR, 10, 0, 0, 0, 0, 0, 1, 0, 0
P1BBR3BR, 10, 0, 0, 1, 0, 0, 0, 0, 0
KNG2B5BR, 10, 0, 0, 1, 0, 0, 0, 0, 0
K6WXJ5BR, 16, 0, 0, 0, 0, 0, 0, 2, 0
ZEHSC6BR, 17, 0, 0, 0, 0, 0, 1, 0, 1
OFHJXABR, 10, 0, 0, 0, 0, 0, 1, 0, 0
R6N6LDBR, 11, 1, 0, 0, 0, 0, 1, 0, 0
PN52KOBR, 10, 0, 0, 0, 0, 0, 1, 0, 0
Z59LBPBR, 18, 0, 0, 0, 0, 0, 1, 1, 0
18HAORBR, 10, 0, 0, 0, 0, 0, 1, 0, 0
B6F11SBR, 11, 1, 0, 0, 0, 0, 1, 0, 0
CROAHSBR, 10, 0, 0, 0, 0, 0, 1, 0, 0
6MKPNTBR, 18, 1, 0, 0, 0, 0, 1, 0, 1
5TC88XBR, 10, 0, 0, 0, 0, 0, 1, 0, 0
X9U7YZBR, 10, 0, 0, 0, 0, 0, 1, 0, 0
E2BB71CR, 10, 0, 0, 0, 0, 0, 1, 0, 0
A8QM62CR, 10, 0, 0, 0, 0, 0, 1, 0, 0
CDO9W2CR, 20, 0, 0, 0, 0, 0, 2, 0, 0
CY18A3CR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZSUYM3CR, 10, 0, 0, 0, 0, 0, 1, 0, 0
895C97CR, 18, 0, 0, 0, 0, 0, 1, 1, 0
RN7YN7CR, 10, 0, 0, 0, 0, 0, 1, 0, 0
WDYBM9CR, 11, 1, 0, 0, 0, 0, 1, 0, 0
L9R1TBCR, 17, 1, 0, 0, 0, 0, 0, 2, 0
QZB3QGCR, 20, 0, 0, 0, 0, 0, 2, 0, 0
GVYRSMCR, 10, 0, 0, 0, 0, 0, 1, 0, 0
R5K3VPCR, 11, 1, 0, 0, 0, 0, 1, 0, 0
9UMPSRCR, 11, 1, 0, 0, 0, 0, 1, 0, 0
NL3KWUCR, 20, 0, 0, 0, 0, 0, 2, 0, 0
LWXASWCR, 10, 0, 0, 0, 0, 0, 1, 0, 0
B913V3DR, 10, 0, 0, 0, 0, 0, 1, 0, 0
T96PP5DR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XWSSG9DR, 16, 0, 0, 0, 0, 0, 0, 2, 0
NRJS3CDR, 39, 1, 0, 1, 0, 0, 2, 1, 0
YNO2LDDR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AXT12FDR, 11, 1, 0, 0, 0, 0, 1, 0, 0
2HJSDHDR, 20, 0, 0, 1, 0, 0, 1, 0, 0
KHV68JDR, 11, 1, 0, 1, 0, 0, 0, 0, 0
1MAFINDR, 10, 0, 0, 0, 0, 0, 1, 0, 0
43WBZODR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZFJ3IPDR, 11, 1, 0, 0, 0, 0, 1, 0, 0
JIB56RDR, 17, 0, 0, 0, 0, 0, 1, 0, 1
W1TE8RDR, 10, 0, 0, 0, 0, 0, 1, 0, 0
NFSMPSDR, 20, 0, 0, 0, 0, 0, 2, 0, 0
VZ2UVUDR, 11, 1, 0, 0, 0, 0, 1, 0, 0
JUCXZUDR, 10, 0, 0, 0, 0, 0, 1, 0, 0
MF2VPZDR, 18, 0, 0, 0, 0, 0, 1, 1, 0
AZUS81ER, 10, 0, 0, 0, 0, 0, 1, 0, 0
KWHZ91ER, 10, 0, 0, 0, 0, 0, 1, 0, 0
R5T5S4ER, 10, 0, 0, 0, 0, 0, 1, 0, 0
IX5EP5ER, 10, 0, 0, 1, 0, 0, 0, 0, 0
NFVT96ER, 10, 0, 0, 0, 0, 0, 1, 0, 0
WMZCT6ER, 23, 0, 0, 0, 0, 0, 0, 2, 1
PNDMT6ER, 18, 0, 0, 0, 0, 0, 1, 1, 0
MW3BBEER, 10, 0, 0, 1, 0, 0, 0, 0, 0
CPK12GER, 18, 0, 0, 0, 0, 0, 1, 1, 0
5J7D7GER, 10, 0, 0, 0, 0, 0, 1, 0, 0
W6C5RGER, 10, 0, 0, 0, 0, 0, 1, 0, 0
P8FEHHER, 10, 0, 0, 0, 0, 0, 1, 0, 0
OD6EGIER, 30, 0, 0, 0, 0, 0, 3, 0, 0
RIA5QKER, 18, 0, 0, 1, 0, 0, 0, 1, 0
T6PZISER, 10, 0, 0, 0, 0, 0, 1, 0, 0
Z4SFTTER, 10, 0, 0, 0, 0, 0, 1, 0, 0
PGDQGXER, 10, 0, 0, 0, 0, 0, 1, 0, 0
29NB6ZER, 10, 0, 0, 0, 0, 0, 1, 0, 0
C2XQQ2FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
8IQK43FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
GF2Z73FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
R778S3FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
VWEB85FR, 15, 0, 0, 0, 0, 0, 0, 1, 1
9QRBT5FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AEYGT5FR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J5RAXAFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
LKQ7ZBFR, 25, 0, 0, 0, 0, 0, 1, 1, 1
5SFAPEFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
IHPL7HFR, 16, 0, 0, 0, 1, 0, 0, 1, 0
UIACPHFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J5K14IFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
352U9IFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
SSDTAKFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9QI44LFR, 11, 1, 0, 0, 0, 0, 1, 0, 0
UG4VCSFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
DF755WFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AKDDOWFR, 15, 0, 0, 0, 0, 0, 0, 1, 1
53SCYXFR, 26, 1, 0, 0, 0, 0, 1, 1, 1
I6TRPYFR, 10, 0, 0, 0, 0, 0, 1, 0, 0
WDBCD5GR, 10, 0, 0, 0, 0, 0, 1, 0, 0
