Seed, Score,Baron,Mime,[Blueprint|Brainstorm|InvisibleJoker],Brainstorm,(N)Blueprint,(N)Brainstorm, NegativeTag,Hieroglyph,Petroglyph
96FVD398,14,2,2,1,1,1,1,0,0,0
KGDKB4G8,9,1,1,0,1,0,1,0,0,0
A42QWVG8,7,1,1,0,1,1,0,0,0,0
4HII1YM8,7,2,2,0,1,0,0,0,0,0
T2QM1JN8,7,0,0,0,1,2,0,0,0,0
I5CW95O8,9,1,1,1,0,1,1,0,0,0
EQ2ELDO8,7,1,1,0,1,1,0,0,0,0
3GATEBQ8,7,1,1,0,1,1,0,0,0,0
IZLI75R8,10,2,2,0,0,1,0,1,0,0
O69U7VW8,7,1,1,0,1,1,0,0,0,0
SOXR2SY8,7,1,1,0,1,1,0,0,0,0
UNY1DJE9,9,2,2,0,1,1,0,0,0,0
G5SQL2F9,13,2,2,1,2,1,0,0,0,0
9KPYLRG9,8,1,1,0,0,1,1,0,0,0
PBYNHKR9,13,2,2,1,2,1,0,0,0,0
WF8RX1V9,8,1,1,1,1,1,0,0,0,0
4R3FTPV9,13,2,2,0,1,1,0,1,0,0
O3PEF7Z9,7,1,1,0,1,1,0,0,0,0
JDDTT92A,7,1,1,0,1,1,0,0,0,0
7M6KLI6A,9,2,2,0,1,1,0,0,0,0
I6YWAA9A,9,0,0,1,2,1,0,0,0,0
FPDRGIAA,8,1,1,1,1,1,0,0,0,0
Z2TES3DA,7,0,0,0,1,2,0,0,0,0
7ITPEVKA,9,0,0,0,1,1,1,0,0,0
V5BNUTLA,14,2,2,1,1,1,1,0,0,0
7UDWDGMA,7,2,2,0,1,0,0,0,0,0
DOHR7FNA,8,1,1,1,1,1,0,0,0,0
81OPE9OA,10,2,2,0,0,1,1,0,0,0
DNMSUY3B,7,1,1,0,1,1,0,0,0,0
UVQ88U6B,8,1,1,1,1,1,0,0,0,0
76O4FB8B,13,3,3,0,1,0,1,0,0,0
LJPF1K9B,8,1,1,1,1,1,0,0,0,0
4KOA8BAB,11,2,2,0,1,0,1,0,0,0
BCZLXUGB,7,2,2,0,1,0,0,0,0,0
M7PHD5IB,7,1,1,0,1,1,0,0,0,0
T6OXBPIB,11,3,3,0,1,1,0,0,0,0
H3X4EGMB,7,1,1,0,1,1,0,0,0,0
1DINNVNB,11,1,1,0,1,1,1,0,0,0
GMSTCRQB,11,2,2,0,1,2,0,0,0,0
KWUPGNRB,7,1,1,0,1,1,0,0,0,0
UJ1PW5TB,11,2,2,0,1,0,1,0,0,0
MMXTLSTB,12,1,1,1,1,1,0,1,0,0
41PBYCVB,7,1,1,0,1,1,0,0,0,0
AFFF3KVB,11,1,1,0,1,1,1,0,0,0
P2EFK23C,10,1,1,1,1,2,0,0,0,0
6A42UE3C,8,1,1,1,1,1,0,0,0,0
TNOUSZ3C,7,0,0,0,1,0,1,0,0,0
X4LJYC5C,8,0,0,1,1,2,0,0,0,0
5XEWV8AC,9,1,1,0,1,2,0,0,0,0
6M2A9THC,9,0,0,0,1,1,0,1,0,0
ERHXJMMC,9,0,0,0,1,1,1,0,0,0
TS4439PC,8,1,1,1,1,1,0,0,0,0
C9F44PQC,7,1,1,0,1,1,0,0,0,0
I8CILF6D,7,1,1,0,1,1,0,0,0,0
NXX7LV6D,8,2,2,1,1,0,0,0,0,0
R2UTTK7D,8,1,1,1,1,1,0,0,0,0
VHFUVT7D,7,1,1,0,1,1,0,0,0,0
1TSHAEBD,9,1,1,0,1,2,0,0,0,0
1IIJDQED,8,1,1,0,0,1,0,1,0,0
5KETLJKD,7,1,1,0,1,1,0,0,0,0
2ZFDTXKD,13,0,0,0,1,1,0,2,0,0
GDLNFZLD,7,0,0,0,1,2,0,0,0,0
CKA6JQMD,7,2,2,1,0,1,0,0,0,0
1OS7BKRD,11,1,1,0,1,1,1,0,0,0
XXX5VRVD,7,1,1,0,1,1,0,0,0,0
2NGCNQWD,9,1,1,0,1,0,1,0,0,0
U2WI6BXD,9,0,0,0,1,1,1,0,0,0
P8KQBRZD,9,0,0,0,1,1,1,0,0,0
Q7UTZ22E,16,4,4,1,1,2,0,0,0,0
RWCMF3AE,9,2,2,1,0,2,0,0,0,0
7N8O68GE,13,2,2,0,1,1,1,0,0,0
29OY7UHE,9,2,2,0,1,1,0,0,0,0
EFXY3ALE,13,2,2,0,1,1,1,0,0,0
SRX8RHLE,8,1,1,1,1,1,0,0,0,0
GX7BCASE,7,1,1,0,1,1,0,0,0,0
BRCBXYZE,10,2,2,0,0,1,0,1,0,0
HD239I9F,13,2,2,0,1,1,1,0,0,0
P4JPABAF,7,1,1,0,1,1,0,0,0,0
ONEYR4GF,7,1,1,0,1,1,0,0,0,0
38C6UQGF,9,2,2,0,1,1,0,0,0,0
5FB6MHIF,9,2,2,0,1,1,0,0,0,0
T4JE6MIF,7,1,1,0,1,1,0,0,0,0
19PGI1KF,9,1,1,1,2,0,0,0,0,0
1HE16LPF,7,1,1,0,1,1,0,0,0,0
KGMFNSQF,7,1,1,0,1,1,0,0,0,0
556S8IRF,8,1,1,0,2,0,0,0,0,0
D62X1CVF,8,1,1,1,1,1,0,0,0,0
JOL9CNVF,9,1,1,0,1,2,0,0,0,0
Q98MNO2G,7,1,1,0,1,1,0,0,0,0
A5JTI13G,7,1,1,0,1,1,0,0,0,0
A61AEA3G,9,2,2,0,1,1,0,0,0,0
912KXD8G,14,2,2,1,1,1,1,0,0,0
3DMUFQ8G,7,1,1,0,1,1,0,0,0,0
ITXE7R8G,7,1,1,0,1,1,0,0,0,0
BSLPIQHG,9,2,2,0,1,1,0,0,0,0
PVP1N8IG,7,1,1,0,1,1,0,0,0,0
YSBFDJIG,7,1,1,0,1,1,0,0,0,0
EV62HQIG,7,1,1,0,1,1,0,0,0,0
B35Y39LG,7,2,2,0,1,0,0,0,0,0
BIR514NG,10,1,1,0,2,1,0,0,0,0
LHIWUVRG,7,1,1,0,1,1,0,0,0,0
RUIRLFTG,9,0,0,1,2,1,0,0,0,0
BRPK7BYG,9,2,2,0,1,1,0,0,0,0
3JILEVYG,7,1,1,0,1,1,0,0,0,0
SBFT823H,11,1,1,1,2,1,0,0,0,0
LR9GSE7H,9,0,0,1,2,1,0,0,0,0
JGWF64GH,12,2,2,1,1,2,0,0,0,0
HK2WZTOH,10,2,2,1,1,1,0,0,0,0
3OXYAFPH,7,1,1,0,1,1,0,0,0,0
8KO6X5QH,11,1,1,0,1,1,1,0,0,0
7XCYZ6SH,12,1,1,1,1,1,1,0,0,0
AGKE8DVH,7,2,2,0,1,0,0,0,0,0
TXMDZNWH,9,2,2,0,1,1,0,0,0,0
LNWNUDXH,7,1,1,0,1,1,0,0,0,0
QCJ8CE1I,7,1,1,0,1,1,0,0,0,0
9LJOD72I,9,2,2,0,1,1,0,0,0,0
DWTSVZ4I,7,1,1,0,1,1,0,0,0,0
IOIYSP5I,8,1,1,1,1,1,0,0,0,0
GMSPV9AI,9,0,0,1,2,1,0,0,0,0
DWGIIYBI,7,1,1,0,1,1,0,0,0,0
CFWNEYGI,7,2,2,0,1,0,0,0,0,0
XWT1KYII,11,1,1,0,1,1,1,0,0,0
9V6WFJLI,7,2,2,0,1,0,0,0,0,0
BDC9Q1RI,9,1,1,0,1,2,0,0,0,0
6LX18OTI,7,1,1,0,1,1,0,0,0,0
OABPJAXI,12,2,2,1,1,0,1,0,0,0
S7DGRLYI,7,2,2,0,1,0,0,0,0,0
XE56RV2J,9,2,2,0,1,1,0,0,0,0
FI41MB4J,7,1,1,0,1,1,0,0,0,0
U7MO2B6J,9,0,0,0,1,1,0,1,0,0
4Q565S6J,14,1,1,1,1,2,0,1,0,0
3FX7618J,7,1,1,1,0,0,0,1,0,0
Q1QLJR8J,7,2,2,0,1,0,0,0,0,0
39ZZXODJ,7,2,2,0,1,0,0,0,0,0
UQTPTVEJ,10,2,2,0,0,1,1,0,0,0
3VT57HFJ,8,0,0,0,2,1,0,0,0,0
OV7HX5IJ,9,0,0,0,1,1,1,0,0,0
ES83FLNJ,7,0,0,1,0,1,0,1,0,0
N2C5YAOJ,7,1,1,0,1,1,0,0,0,0
3VYC15QJ,7,1,1,0,1,1,0,0,0,0
X7GS68SJ,11,1,1,0,1,1,0,1,0,0
PSPW97TJ,7,1,1,0,1,1,0,0,0,0
PCYTWAZJ,9,2,2,0,1,1,0,0,0,0
BSG7X8BK,15,3,3,0,1,1,1,0,0,0
2PJ1X9CK,9,2,2,0,1,1,0,0,0,0
JFDC9ECK,8,0,0,0,2,1,0,0,0,0
N9KPOHGK,13,1,1,0,3,1,0,0,0,0
J9M4UMGK,7,1,1,0,1,1,0,0,0,0
CB1TUMJK,7,2,2,0,1,0,0,0,0,0
SN1E6JNK,11,2,2,0,1,2,0,0,0,0
JSIJY1OK,7,1,1,0,1,1,0,0,0,0
1QSG3HUK,7,1,1,0,1,1,0,0,0,0
PQ6QQMVK,10,2,2,0,0,1,1,0,0,0
XEEHR5WK,8,1,1,0,2,0,0,0,0,0
5CGOXJWK,14,2,2,1,1,1,1,0,0,0
M6NJ48XK,10,2,2,0,2,0,0,0,0,0
T5Q5VRXK,9,2,2,0,1,1,0,0,0,0
D7A3FG6L,11,1,1,1,2,1,0,0,0,0
IY4OY57L,13,2,2,0,1,1,0,1,0,0
2MZ96BAL,13,3,3,1,0,1,0,1,0,0
62U7PLCL,7,1,1,0,1,1,0,0,0,0
T9C6W7DL,7,1,1,0,1,1,0,0,0,0
SSPVNIDL,7,1,1,0,1,1,0,0,0,0
61MXYCEL,9,0,0,0,1,1,0,1,0,0
UQE3RIML,7,1,1,0,1,1,0,0,0,0
Q4U6M62M,8,1,1,0,0,1,0,1,0,0
RSG4F83M,8,0,0,1,1,2,0,0,0,0
UKU6FIBM,10,2,2,1,1,1,0,0,0,0
FVBCJMCM,9,2,2,0,1,1,0,0,0,0
UYWLH3DM,10,1,1,1,1,2,0,0,0,0
G2JIU3EM,7,1,1,0,1,1,0,0,0,0
AYEFZOFM,7,1,1,0,1,1,0,0,0,0
7O3D7YGM,8,4,4,0,0,0,0,0,0,0
HUQ9XMIM,12,2,2,1,1,2,0,0,0,0
QE972CUM,9,2,2,0,1,1,0,0,0,0
MAXXO9WM,7,1,1,0,1,1,0,0,0,0
JIEEFKZM,9,1,1,0,1,0,0,1,0,0
F6XV2J2N,8,1,1,1,1,1,0,0,0,0
NQO19Z5N,8,1,1,1,1,1,0,0,0,0
S6VNFSAN,7,1,1,0,1,1,0,0,0,0
6C56MAEN,7,1,1,0,1,1,0,0,0,0
VFVNMION,8,1,1,1,1,1,0,0,0,0
8P126KRN,7,2,2,0,1,0,0,0,0,0
1K5KAPWN,8,1,1,1,1,1,0,0,0,0
R1L4Q36O,7,1,1,0,1,1,0,0,0,0
MBM89UDO,7,1,1,0,1,1,0,0,0,0
GZVYPYDO,13,2,2,1,2,1,0,0,0,0
X9CUHDFO,7,0,0,0,1,2,0,0,0,0
TN8833OO,7,1,1,0,1,1,0,0,0,0
9G1XJNPO,10,2,2,1,1,1,0,0,0,0
GB8G5PPO,9,1,1,0,1,2,0,0,0,0
C2O93KTO,9,1,1,0,1,0,0,1,0,0
S3UBSNVO,10,2,2,1,1,1,0,0,0,0
99P3T8YO,7,1,1,0,1,1,0,0,0,0
UG92666P,7,1,1,0,1,1,0,0,0,0
OEG3W27P,8,0,0,1,1,2,0,0,0,0
1QIYCN9P,9,2,2,0,1,1,0,0,0,0
FSMMK6AP,9,0,0,0,1,1,1,0,0,0
Z9QURPHP,11,1,1,0,1,1,1,0,0,0
4B8CHLIP,8,2,2,0,0,0,1,0,0,0
FQO411NP,9,2,2,0,1,1,0,0,0,0
9TQM9KUP,9,2,2,0,1,1,0,0,0,0
IAJEMWVP,8,1,1,1,1,1,0,0,0,0
KJWXSVZP,8,1,1,0,0,1,0,1,0,0
SWCZD43Q,7,2,2,0,1,0,0,0,0,0
GGYBAR4Q,9,1,1,1,0,1,1,0,0,0
SILWXOAQ,8,2,2,0,0,2,0,0,0,0
F4RBEFBQ,9,3,3,0,1,0,0,0,0,0
X2S5Y3FQ,7,1,1,0,1,1,0,0,0,0
QAC1YAKQ,7,2,2,0,1,0,0,0,0,0
5E2573PQ,7,1,1,0,1,1,0,0,0,0
2QZD6DTQ,15,3,3,0,1,1,0,1,0,0
BBIM1UUQ,7,0,0,0,1,0,0,1,0,0
C52BPAWQ,9,2,2,0,1,1,0,0,0,0
U1BNDBXQ,7,1,1,0,1,1,0,0,0,0
6B82KA4R,7,1,1,1,0,2,0,0,0,0
NLTJXI4R,9,2,2,0,1,1,0,0,0,0
U5TW4Z5R,15,2,2,0,3,1,0,0,0,0
PJ5ZIH9R,8,0,0,0,2,1,0,0,0,0
MHHDTR9R,9,2,2,0,1,1,0,0,0,0
HU8P4ACR,8,1,1,1,1,1,0,0,0,0
7BKGJYDR,7,1,1,0,1,1,0,0,0,0
M65VJYFR,8,1,1,1,1,1,0,0,0,0
JM1FYLGR,7,2,2,0,1,0,0,0,0,0
L6E73ZNR,9,1,1,1,2,0,0,0,0,0
PATIDGOR,7,1,1,0,1,1,0,0,0,0
47CRX8RR,15,3,3,0,1,1,0,1,0,0
FOPVPJSR,7,1,1,0,1,1,0,0,0,0
93R88WZR,9,2,2,0,1,1,0,0,0,0
XUS2BL1S,7,1,1,0,1,1,0,0,0,0
L3RAOD2S,7,1,1,0,1,1,0,0,0,0
RA3R1K5S,8,1,1,1,1,1,0,0,0,0
AAI4TLCS,9,2,2,0,1,1,0,0,0,0
OKZENRDS,7,1,1,0,1,1,0,0,0,0
QWLESPIS,7,2,2,0,1,0,0,0,0,0
O7OBPILS,9,0,0,1,2,1,0,0,0,0
E8SXLTNS,8,2,2,0,0,0,0,1,0,0
68P6BVNS,7,1,1,0,1,1,0,0,0,0
M4AJHEOS,9,2,2,0,1,1,0,0,0,0
VBO2T5ZS,7,2,2,0,1,0,0,0,0,0
VPRI2D4T,9,2,2,0,1,1,0,0,0,0
FB9SY96T,7,2,2,1,0,1,0,0,0,0
