NegativeScore,Score,Perkeo,NegativePerkeo,NegativeBlueprint,NegativeBrainstorm,NegativeInvisibleJoker,InvisibleJoker,Brainstorm,Blueprint,Seed
2,6,1,1,0,0,1,3,0,0,UJWCZI11
2,8,1,0,1,0,1,3,1,1,HSLAP121
2,5,1,0,0,1,1,1,1,0,4TDYU531
2,7,1,0,0,1,1,1,3,0,BTBHXF41
2,6,1,0,0,1,1,1,2,0,E1FTSN51
2,8,1,0,0,2,0,0,4,1,TVW66471
2,6,1,1,0,1,0,1,1,1,PI17KA71
2,5,1,0,1,0,1,1,0,1,9Y54ZR71
2,11,1,0,0,2,0,1,5,2,E4EBBN81
2,8,1,0,1,0,1,2,1,2,IL3381B1
2,8,1,0,2,0,0,1,2,2,L7GDV1C1
2,8,2,2,0,0,0,3,0,1,2IGXO3E1
2,6,2,2,0,0,0,1,0,1,JWONZOE1
2,7,1,1,0,0,1,2,0,2,W99DDMG1
2,8,2,2,0,0,0,3,0,1,FJSXR1H1
2,5,1,0,2,0,0,0,0,2,NBZJW9H1
2,6,1,0,0,1,1,1,1,1,CVPUF6L1
2,5,2,2,0,0,0,1,0,0,SLTM5IM1
2,6,1,0,1,0,1,1,0,2,FGVI42N1
2,6,1,0,0,0,2,3,0,0,LEGO6NN1
2,7,1,1,1,0,0,1,2,1,ALB2PNP1
2,8,1,0,0,1,1,2,2,1,X8I2KRR1
2,9,1,1,1,0,0,1,2,3,CO2AO3T1
2,5,1,1,0,0,1,1,0,1,5RU7CYT1
